,layer1_size,learning_rate,error_threshold,layer_1_dropout_prob,layer1_activation_function,layer2_activation_function,mean_accuracy
129,2,0.2,0.3,0.1,tan_h,sigmoid,0.25555555555555554
491,8,0.1,0.3,0.1,tan_h,softmax,0.25555555555555554
489,8,0.1,0.3,0.1,tan_h,sigmoid,0.25555555555555554
135,2,0.2,0.3,0.2,tan_h,sigmoid,0.25555555555555554
177,2,0.3,0.2,0.1,tan_h,sigmoid,0.25555555555555554
441,8,0.1,0.1,0.1,tan_h,sigmoid,0.25555555555555554
443,8,0.1,0.1,0.1,tan_h,softmax,0.25555555555555554
167,2,0.3,0.1,0.3,tan_h,softmax,0.25555555555555554
447,8,0.1,0.1,0.2,tan_h,sigmoid,0.25555555555555554
449,8,0.1,0.1,0.2,tan_h,softmax,0.25555555555555554
165,2,0.3,0.1,0.3,tan_h,sigmoid,0.25555555555555554
453,8,0.1,0.1,0.3,tan_h,sigmoid,0.25555555555555554
455,8,0.1,0.1,0.3,tan_h,softmax,0.25555555555555554
162,2,0.3,0.1,0.3,sigmoid,sigmoid,0.25555555555555554
161,2,0.3,0.1,0.2,tan_h,softmax,0.25555555555555554
159,2,0.3,0.1,0.2,tan_h,sigmoid,0.25555555555555554
155,2,0.3,0.1,0.1,tan_h,softmax,0.25555555555555554
153,2,0.3,0.1,0.1,tan_h,sigmoid,0.25555555555555554
465,8,0.1,0.2,0.1,tan_h,sigmoid,0.25555555555555554
467,8,0.1,0.2,0.1,tan_h,softmax,0.25555555555555554
471,8,0.1,0.2,0.2,tan_h,sigmoid,0.25555555555555554
473,8,0.1,0.2,0.2,tan_h,softmax,0.25555555555555554
477,8,0.1,0.2,0.3,tan_h,sigmoid,0.25555555555555554
479,8,0.1,0.2,0.3,tan_h,softmax,0.25555555555555554
141,2,0.2,0.3,0.3,tan_h,sigmoid,0.25555555555555554
647,8,0.3,0.3,0.3,tan_h,softmax,0.25555555555555554
